Estilo,Ano,Potencia_motor,Cilindros_motor,Consumo_estrada_km,Valor
seda,2009,302.0,6.0,41.84284,46845
seda,2016,375.0,4.0,49.88954,49500
seda,1991,158.0,6.0,40.2335,2000
hatchback 2 portas,1992,81.0,4.0,53.10822,2000
seda,1999,162.0,5.0,41.84284,2172
seda,2015,178.0,4.0,56.3269,23840
seda,2016,188.0,4.0,62.76426,45605
picape cabine estendida,1991,116.0,4.0,35.40548,2000
seda,1999,160.0,6.0,41.84284,2000
cupe,2010,330.0,6.0,40.2335,39150
seda,2006,155.0,6.0,40.2335,20299
hatchback 2 portas,2006,172.0,6.0,38.62416,21195
seda,2016,240.0,4.0,59.54558,43450
SUV 4 portas,2017,280.0,6.0,41.84284,34830
SUV 4 portas,2017,288.0,6.0,35.40548,44045
seda,2015,132.0,4.0,61.15492,18565
perua,2012,122.0,4.0,49.88954,17580
seda,2004,140.0,4.0,49.88954,18485
picape cabine simples,1995,134.0,4.0,38.62416,2000
minivan de passageiros,2004,185.0,6.0,38.62416,23335
SUV 4 portas,2014,270.0,6.0,35.40548,38645
picape cabine estendida,1993,150.0,6.0,27.35878,2550
hatchback 2 portas,2016,130.0,4.0,61.15492,24440
SUV 4 portas,1994,165.0,6.0,32.1868,2000
picape cabine estendida,2016,285.0,6.0,38.62416,31120
SUV 4 portas,2015,365.0,6.0,32.1868,63645
SUV 4 portas,2017,280.0,6.0,41.84284,47070
SUV 4 portas,2005,275.0,6.0,28.96812,33865
hatchback 2 portas,1993,195.0,4.0,41.84284,2000
SUV 4 portas,2017,290.0,6.0,35.40548,36700
seda,2005,225.0,6.0,43.45218,32175
hatchback 2 portas,2000,193.0,6.0,38.62416,4697
SUV 4 portas,2017,290.0,6.0,43.45218,54400
seda,2016,330.0,6.0,38.62416,52000
seda,1995,200.0,6.0,35.40548,2144
seda,1991,158.0,6.0,35.40548,2000
hatchback 2 portas,2015,170.0,4.0,53.10822,21795
seda,2015,237.0,4.0,40.2335,29495
perua,2007,250.0,6.0,35.40548,29860
SUV 4 portas,2015,295.0,6.0,45.06152,47620
minivan de passageiros,2015,283.0,6.0,40.2335,25245
hatchback 2 portas,2007,172.0,6.0,38.62416,19395
seda,2012,185.0,4.0,46.67086,22249
SUV 2 portas,1993,285.0,6.0,27.35878,6890
perua,2005,165.0,4.0,43.45218,22990
conversivel,2002,115.0,4.0,45.06152,22300
hatchback 2 portas,2001,79.0,4.0,49.88954,9949
conversivel,2017,455.0,8.0,40.2335,63905
seda,1990,114.0,4.0,41.84284,2000
conversivel,2001,315.0,6.0,37.01482,45990
seda,2014,333.0,6.0,43.45218,35200
minivan de passageiros,2006,196.0,6.0,33.79614,27750
perua,2008,340.0,8.0,37.01482,31780
cupe,1991,110.0,4.0,49.88954,2000
perua,2016,240.0,4.0,46.67086,41750
cupe,1993,115.0,4.0,46.67086,2000
SUV 4 portas,2016,281.0,6.0,35.40548,28700
hatchback 4 portas,2017,220.0,4.0,54.71756,30890
seda,2001,210.0,6.0,38.62416,31505
cupe,2017,375.0,8.0,37.01482,40140
seda,2017,184.0,4.0,56.3269,30695
SUV 4 portas,2014,185.0,4.0,48.2802,29820
picape cabine simples,2015,285.0,6.0,38.62416,31750
SUV 4 portas,2015,173.0,4.0,41.84284,20695
picape cabine simples,1997,220.0,8.0,27.35878,3394
picape cabine dupla,2008,300.0,8.0,27.35878,41715
SUV 4 portas,2015,264.0,4.0,38.62416,33000
seda,2017,469.0,8.0,38.62416,65200
picape cabine dupla,2015,381.0,8.0,28.96812,44925
SUV 4 portas,2015,270.0,6.0,41.84284,48710
seda,2011,330.0,6.0,38.62416,49200
picape cabine estendida,2015,310.0,8.0,30.57746,30160
conversivel,2015,150.0,4.0,64.3736,29675
SUV 4 portas,2016,194.0,4.0,48.2802,41310
picape cabine simples,1995,150.0,6.0,27.35878,2539
minivan de passageiros,2004,185.0,6.0,35.40548,36795
SUV 4 portas,2008,268.0,6.0,38.62416,43480
seda,2010,328.0,6.0,40.2335,43550
picape cabine estendida,2008,210.0,6.0,28.96812,29095
seda,2015,292.0,6.0,43.45218,32995
SUV 4 portas,2013,240.0,4.0,38.62416,41500
SUV 4 portas,2007,395.0,8.0,27.35878,31320
seda,2015,304.0,6.0,45.06152,44660
hatchback 2 portas,2015,210.0,4.0,49.88954,30525
perua,1993,172.0,6.0,32.1868,2000
seda,2016,150.0,4.0,62.76426,18995
picape cabine dupla,2017,381.0,8.0,28.96812,46980
seda,2005,155.0,4.0,45.06152,16049
picape cabine dupla,2009,300.0,8.0,25.74944,36015
perua,1996,168.0,5.0,41.84284,2000
seda,2014,300.0,6.0,48.2802,26840
picape cabine estendida,1998,220.0,8.0,28.96812,3096
picape cabine dupla,2011,332.0,8.0,37.01482,38725
van de carga,1998,200.0,6.0,28.96812,2052
SUV 4 portas,2016,260.0,6.0,41.84284,31520
seda,2009,173.0,4.0,48.2802,23040
SUV 4 portas,2016,194.0,4.0,49.88954,33610
picape cabine dupla,2009,390.0,8.0,32.1868,40270
picape cabine simples,2015,282.0,6.0,40.2335,31625
picape cabine estendida,2015,381.0,8.0,28.96812,30010
SUV 4 portas,2016,380.0,6.0,30.57746,69135
cupe,1994,120.0,4.0,49.88954,2000
hatchback 4 portas,2010,158.0,4.0,45.06152,20875
cupe,2013,330.0,6.0,40.2335,42050
picape cabine estendida,2015,317.0,8.0,28.96812,29640
cupe,2015,455.0,8.0,46.67086,55000
seda,2016,150.0,4.0,62.76426,18780
perua,2016,287.0,6.0,35.40548,34250
SUV 4 portas,2005,185.0,6.0,33.79614,23399
conversivel,2016,155.0,4.0,54.71756,24915
hatchback 4 portas,2016,210.0,4.0,54.71756,28625
SUV 4 portas,2013,332.0,8.0,37.01482,61960
picape cabine dupla,2006,300.0,8.0,25.74944,34640
seda,2017,290.0,6.0,54.71756,42600
seda,1995,230.0,6.0,38.62416,2066
minivan de passageiros,2015,248.0,6.0,45.06152,37775
seda,2017,245.0,4.0,45.06152,36900
cupe,2015,278.0,6.0,51.49888,30775
minivan de passageiros,2003,185.0,6.0,38.62416,30240
seda,2017,304.0,6.0,45.06152,49295
seda,2016,160.0,4.0,62.76426,21095
SUV 4 portas,2016,325.0,6.0,38.62416,45850
SUV 4 portas,2015,245.0,4.0,48.2802,31500
perua,2015,170.0,4.0,56.3269,22495
picape cabine dupla,2017,355.0,8.0,35.40548,43950
hatchback 4 portas,2015,173.0,4.0,53.10822,19800
seda,2005,155.0,4.0,41.84284,16549
seda,2015,268.0,4.0,45.06152,26295
seda,2016,333.0,6.0,41.84284,49200
hatchback 4 portas,2015,120.0,4.0,57.93624,16085
minivan de passageiros,2005,200.0,6.0,33.79614,30210
picape cabine dupla,2017,278.0,6.0,37.01482,35315
SUV 4 portas,2016,146.0,4.0,56.3269,24990
conversivel,2015,150.0,4.0,64.3736,30295
seda,2013,330.0,6.0,41.84284,48700
perua,2006,155.0,4.0,45.06152,15499
SUV 4 portas,2014,185.0,4.0,48.2802,26470
hatchback 4 portas,2012,138.0,4.0,48.2802,20295
perua,1995,260.0,8.0,37.01482,2000
cupe,1993,92.0,4.0,57.93624,2000
seda,2016,109.0,4.0,64.3736,15580
van de passageiros,2017,275.0,6.0,30.57746,38015
cupe,2017,174.0,4.0,64.3736,23525
picape cabine dupla,2011,332.0,8.0,37.01482,48205
minivan de carga,1997,140.0,6.0,33.79614,2000
seda,1990,114.0,4.0,41.84284,2000
hatchback 2 portas,1992,82.0,4.0,53.10822,2000
seda,2015,170.0,4.0,57.93624,23995
perua,2016,188.0,4.0,59.54558,27170
SUV 4 portas,2008,300.0,8.0,30.57746,42770
picape cabine estendida,2008,210.0,6.0,30.57746,28580
seda,2008,127.0,4.0,45.06152,14989
hatchback 2 portas,2005,160.0,4.0,49.88954,22250
minivan de carga,1990,107.0,4.0,32.1868,2000
SUV 4 portas,2017,164.0,4.0,48.2802,22700
SUV 4 portas,2012,161.0,4.0,43.45218,22190
SUV 4 portas,2015,185.0,4.0,40.2335,29765
SUV 2 portas,2001,190.0,6.0,32.1868,19270
SUV 4 portas,2017,329.0,6.0,37.01482,65650
picape cabine simples,2007,195.0,6.0,33.79614,15840
hatchback 4 portas,2017,130.0,4.0,64.3736,16790
perua,2016,170.0,4.0,57.93624,21625
seda,2011,239.0,8.0,38.62416,52670
perua,2006,190.0,6.0,41.84284,22680
SUV 4 portas,2017,354.0,6.0,38.62416,60800
picape cabine dupla,2015,317.0,8.0,28.96812,41160
van de carga,2000,175.0,6.0,25.74944,2348
SUV 4 portas,2015,273.0,6.0,38.62416,29985
picape cabine estendida,2017,310.0,8.0,30.57746,31830
SUV 4 portas,2005,185.0,6.0,33.79614,26099
conversivel,2017,248.0,4.0,51.49888,52300
picape cabine dupla,2016,261.0,6.0,33.79614,32890
cupe,2017,248.0,4.0,53.10822,35150
hatchback 4 portas,2013,192.0,4.0,49.88954,27230
SUV 4 portas,2017,175.0,4.0,51.49888,27695
cupe,2015,237.0,4.0,54.71756,53900
SUV 4 portas,2017,355.0,8.0,35.40548,60315
SUV Conversível,1998,95.0,4.0,38.62416,2000
picape cabine estendida,1993,230.0,8.0,25.74944,2000
conversivel,2001,200.0,6.0,45.06152,25475
SUV 4 portas,2012,166.0,4.0,40.2335,23749
seda,2004,170.0,6.0,43.45218,21830
SUV 4 portas,2017,280.0,6.0,43.45218,30595
seda,2001,227.0,6.0,38.62416,29715
perua,1992,162.0,4.0,32.1868,2000
SUV 4 portas,2004,197.0,6.0,30.57746,26199
hatchback 2 portas,2007,138.0,4.0,43.45218,17795
hatchback 4 portas,2015,155.0,4.0,64.3736,18945
cupe,2016,305.0,6.0,48.2802,29995
hatchback 2 portas,2001,140.0,4.0,45.06152,21850
perua,2013,170.0,5.0,53.10822,20595
hatchback 4 portas,1992,93.0,4.0,46.67086,2000
seda,2016,268.0,4.0,49.88954,51285
SUV 4 portas,2016,148.0,4.0,54.71756,25095
hatchback 4 portas,2015,188.0,4.0,51.49888,22300
conversivel,2015,335.0,6.0,38.62416,65800
hatchback 4 portas,2015,210.0,4.0,53.10822,31145
minivan de passageiros,2017,276.0,6.0,35.40548,41900
minivan de carga,2004,190.0,6.0,30.57746,22695
seda,2015,200.0,4.0,49.88954,35375
perua,2009,263.0,6.0,35.40548,34175
SUV 4 portas,2011,171.0,4.0,45.06152,20555
seda,2016,168.0,4.0,49.88954,23495
seda,2003,170.0,4.0,43.45218,19980
minivan de passageiros,2012,283.0,6.0,40.2335,39890
seda,2015,109.0,4.0,64.3736,13990
picape cabine estendida,1995,150.0,6.0,35.40548,2498
picape cabine dupla,2015,285.0,6.0,38.62416,35390
conversivel,2015,158.0,4.0,45.06152,28650
seda,2009,328.0,6.0,40.2335,34250
seda,2001,140.0,4.0,45.06152,20200
seda,2017,300.0,6.0,48.2802,36170
picape cabine estendida,1997,190.0,6.0,27.35878,3143
seda,1996,200.0,8.0,38.62416,2000
seda,2017,147.0,4.0,59.54558,22350
cupe,2009,330.0,6.0,40.2335,37000
picape cabine simples,1998,200.0,6.0,30.57746,2883
cupe,2016,272.0,4.0,48.2802,40445
hatchback 4 portas,2014,305.0,4.0,37.01482,36495
perua,2011,227.0,5.0,48.2802,29000
picape cabine estendida,1998,160.0,6.0,30.57746,3323
SUV 4 portas,2016,270.0,6.0,33.79614,41850
seda,2009,164.0,4.0,54.71756,25555
picape cabine estendida,1999,150.0,6.0,32.1868,3206
conversivel,2016,170.0,4.0,54.71756,30500
hatchback 4 portas,2017,300.0,6.0,43.45218,60900
picape cabine estendida,2007,295.0,8.0,30.57746,28555
SUV Conversível,2002,127.0,4.0,38.62416,15999
van de carga,2002,225.0,8.0,22.53076,20820
SUV 4 portas,2015,220.0,4.0,45.06152,42200
seda,2015,148.0,4.0,59.54558,20995
cupe,2013,276.0,6.0,41.84284,68300
hatchback 4 portas,2014,99.0,4.0,74.02964,23360
conversivel,2015,237.0,4.0,54.71756,63900
hatchback 4 portas,2012,200.0,4.0,49.88954,30595
perua,2015,240.0,6.0,40.2335,37550
SUV 4 portas,2010,210.0,6.0,33.79614,23250
perua,2012,170.0,5.0,49.88954,25960
seda,1998,125.0,4.0,51.49888,2000
hatchback 2 portas,2014,179.0,4.0,49.88954,19210
SUV 4 portas,2014,270.0,6.0,37.01482,35740
SUV 4 portas,2017,240.0,4.0,43.45218,31500
seda,2005,203.0,6.0,37.01482,25965
cupe,2016,158.0,4.0,65.98294,20850
SUV 4 portas,2016,138.0,4.0,54.71756,20300
hatchback 4 portas,2016,210.0,4.0,53.10822,29725
seda,1999,205.0,6.0,43.45218,2210
SUV 4 portas,2011,303.0,6.0,33.79614,44050
picape cabine dupla,2010,210.0,6.0,32.1868,26325
seda,2017,160.0,4.0,57.93624,25125
SUV 4 portas,2016,270.0,6.0,40.2335,43530
SUV 4 portas,2017,310.0,6.0,43.45218,44895
SUV 4 portas,2017,200.0,4.0,38.62416,34580
cupe,2002,140.0,4.0,48.2802,19855
SUV 4 portas,2016,190.0,4.0,40.2335,26700
picape cabine dupla,2017,385.0,8.0,33.79614,53704
cupe,2006,215.0,6.0,37.01482,29145
hatchback 4 portas,2017,137.0,4.0,56.3269,18750
conversivel,2012,162.0,4.0,43.45218,27999
picape cabine dupla,2011,261.0,6.0,30.57746,29150
seda,2017,268.0,6.0,48.2802,37650
SUV 4 portas,2016,170.0,4.0,46.67086,25295
picape cabine estendida,2012,242.0,5.0,37.01482,26160
picape cabine estendida,2015,317.0,8.0,27.35878,38170
seda,2005,275.0,8.0,35.40548,46430
SUV 4 portas,2005,302.0,8.0,25.74944,43585
seda,2011,187.0,4.0,54.71756,39100
picape cabine dupla,2002,190.0,6.0,28.96812,24492
SUV 4 portas,2017,390.0,8.0,30.57746,49650
van de passageiros,2014,255.0,8.0,24.1401,35860
conversivel,2015,170.0,4.0,56.3269,38150
seda,2015,184.0,4.0,61.15492,24895
SUV 4 portas,2016,138.0,4.0,54.71756,25230
conversivel,2016,210.0,4.0,49.88954,31570
hatchback 4 portas,2015,120.0,4.0,57.93624,14855
seda,2015,386.0,8.0,38.62416,72520
picape cabine dupla,2017,278.0,6.0,37.01482,29735
conversivel,1991,94.0,4.0,46.67086,2000
seda,2016,158.0,4.0,65.98294,22040
picape cabine dupla,2017,355.0,8.0,35.40548,54625
hatchback 2 portas,2015,170.0,4.0,53.10822,23605
seda,2017,132.0,4.0,57.93624,18935
hatchback 4 portas,2013,158.0,4.0,45.06152,20265
SUV 4 portas,2014,240.0,4.0,38.62416,36600
SUV 4 portas,2007,291.0,6.0,32.1868,27340
picape cabine dupla,2009,210.0,6.0,32.1868,26405
seda,2017,179.0,4.0,62.76426,25460
hatchback 4 portas,2016,121.0,4.0,85.29502,24700
hatchback 4 portas,2009,106.0,4.0,54.71756,14335
picape cabine estendida,2016,261.0,6.0,33.79614,26640
SUV 2 portas,1990,140.0,6.0,32.1868,2000
SUV 4 portas,2017,180.0,4.0,46.67086,25235
seda,2016,335.0,6.0,45.06152,49210
SUV 4 portas,2017,182.0,4.0,45.06152,28500
seda,2015,304.0,6.0,41.84284,64245
picape cabine dupla,2015,236.0,6.0,33.79614,25060
van de passageiros,2015,285.0,8.0,27.35878,36355
SUV 2 portas,1991,170.0,8.0,19.31208,2000
seda,2015,241.0,4.0,49.88954,40400
conversivel,2009,189.0,4.0,43.45218,47250
SUV 4 portas,2016,148.0,4.0,49.88954,21595
seda,2015,180.0,4.0,51.49888,27050
picape cabine estendida,1997,220.0,8.0,27.35878,2787
minivan de passageiros,2002,150.0,4.0,38.62416,16430
SUV 4 portas,2015,290.0,6.0,40.2335,36700
seda,2016,345.0,6.0,38.62416,70600
minivan de passageiros,2003,185.0,6.0,38.62416,24165
seda,2014,304.0,6.0,45.06152,38850
cupe,1993,315.0,8.0,25.74944,3176
picape cabine dupla,2017,355.0,8.0,35.40548,45390
conversivel,2009,306.0,6.0,38.62416,39220
cupe,1994,92.0,4.0,56.3269,2000
SUV 4 portas,2009,252.0,6.0,37.01482,29930
seda,2016,173.0,4.0,56.3269,19990
SUV 4 portas,1997,95.0,4.0,38.62416,2000
SUV 4 portas,2017,176.0,4.0,46.67086,34750
SUV 4 portas,2017,280.0,6.0,41.84284,43470
SUV 4 portas,2016,138.0,4.0,53.10822,24065
seda,2012,328.0,6.0,40.2335,41850
seda,2006,155.0,4.0,41.84284,16099
SUV 4 portas,2015,182.0,4.0,46.67086,28310
picape cabine simples,2010,143.0,4.0,43.45218,18960
conversivel,2009,189.0,4.0,43.45218,43995
seda,2016,311.0,6.0,41.84284,50470
seda,2015,145.0,4.0,62.76426,17490
picape cabine dupla,2014,250.0,6.0,33.79614,37505
SUV 4 portas,2016,164.0,4.0,49.88954,22700
SUV 4 portas,2008,133.0,4.0,48.2802,25485
seda,2015,328.0,6.0,46.67086,40000
cupe,2007,155.0,4.0,49.88954,23905
SUV 4 portas,2017,168.0,4.0,43.45218,27695
seda,2007,420.0,8.0,32.1868,66000
seda,2013,210.0,4.0,53.10822,28425
SUV 4 portas,2015,178.0,4.0,51.49888,29735
hatchback 2 portas,2010,162.0,4.0,43.45218,21699
picape cabine estendida,2010,210.0,6.0,28.96812,27005
cupe,2017,350.0,6.0,41.84284,43290
hatchback 4 portas,2017,106.0,4.0,56.3269,17285
hatchback 2 portas,1991,100.0,4.0,49.88954,2000
seda,1997,205.0,6.0,41.84284,2080
SUV 4 portas,2015,182.0,4.0,45.06152,21900
seda,2010,207.0,4.0,49.88954,28900
SUV 4 portas,2016,190.0,4.0,43.45218,24950
SUV 4 portas,2007,252.0,6.0,35.40548,25399
picape cabine estendida,2007,295.0,8.0,28.96812,31375
conversivel,2015,315.0,6.0,45.06152,63300
SUV 4 portas,1997,120.0,4.0,37.01482,2002
picape cabine dupla,2015,355.0,8.0,37.01482,42860
cupe,2004,140.0,4.0,53.10822,10135
cupe,2012,330.0,6.0,43.45218,39250
seda,2006,203.0,6.0,41.84284,24230
picape cabine dupla,2016,278.0,6.0,37.01482,34090
seda,2015,210.0,4.0,53.10822,29280
seda,2002,275.0,8.0,37.01482,38185
hatchback 2 portas,2015,170.0,4.0,53.10822,26195
seda,2008,173.0,4.0,48.2802,24415
seda,2017,180.0,4.0,56.3269,33450
seda,2007,203.0,6.0,37.01482,24885
hatchback 4 portas,2016,240.0,4.0,54.71756,43000
seda,1993,96.0,4.0,48.2802,2000
SUV 4 portas,2015,317.0,8.0,28.96812,46500
SUV 4 portas,2013,302.0,6.0,37.01482,49770
cupe,2009,155.0,4.0,59.54558,14990
SUV 4 portas,2017,176.0,4.0,48.2802,24910
seda,2016,302.0,4.0,53.10822,43300
perua,2015,150.0,4.0,67.59228,31445
SUV 4 portas,2016,185.0,4.0,53.10822,28445
picape cabine dupla,2013,332.0,8.0,37.01482,47915
hatchback 4 portas,2010,132.0,4.0,51.49888,16100
minivan de passageiros,2000,158.0,6.0,37.01482,2267
SUV 4 portas,2015,308.0,6.0,38.62416,43640
SUV 4 portas,2008,252.0,6.0,35.40548,26699
picape cabine dupla,2013,320.0,8.0,33.79614,41675
hatchback 4 portas,2015,278.0,6.0,48.2802,33840
minivan de passageiros,2017,283.0,6.0,40.2335,32395
hatchback 2 portas,2016,179.0,4.0,49.88954,24340
seda,2015,429.0,8.0,37.01482,61500
picape cabine dupla,2017,285.0,6.0,38.62416,40025
seda,2016,304.0,6.0,41.84284,57935
seda,1990,150.0,6.0,38.62416,2000
picape cabine dupla,2012,332.0,8.0,37.01482,39640
SUV 4 portas,2017,250.0,4.0,43.45218,34295
SUV 4 portas,2016,303.0,6.0,41.84284,55970
SUV 4 portas,2015,245.0,4.0,48.2802,35600
seda,2016,335.0,6.0,48.2802,41340
van de passageiros,2001,175.0,6.0,24.1401,21345
SUV 4 portas,2005,185.0,6.0,38.62416,26780
seda,2017,300.0,6.0,46.67086,40650
picape cabine estendida,2012,185.0,4.0,40.2335,20840
cupe,2015,310.0,4.0,49.88954,25300
picape cabine dupla,2016,261.0,6.0,33.79614,35610
van de passageiros,2016,285.0,8.0,25.74944,32990
SUV 4 portas,2015,340.0,6.0,37.01482,68295
picape cabine estendida,1997,220.0,8.0,27.35878,2836
picape cabine estendida,2015,285.0,6.0,38.62416,36200
seda,1991,238.0,8.0,25.74944,2304
SUV 4 portas,2017,182.0,4.0,51.49888,26750
minivan de carga,2016,169.0,4.0,46.67086,25200
hatchback 4 portas,2016,155.0,4.0,64.3736,18545
seda,2014,201.0,4.0,49.88954,33735
seda,2010,173.0,4.0,48.2802,22115
hatchback 4 portas,2017,121.0,4.0,85.29502,27100
hatchback 4 portas,2017,201.0,4.0,48.2802,23690
picape cabine dupla,2015,285.0,6.0,35.40548,39540
hatchback 4 portas,2012,200.0,4.0,53.10822,27975
SUV 4 portas,2017,235.0,4.0,43.45218,38585
seda,2011,302.0,6.0,43.45218,47280
seda,2001,122.0,4.0,51.49888,13999
cupe,1995,230.0,6.0,38.62416,2506
seda,1992,177.0,6.0,35.40548,2065
picape cabine estendida,2015,200.0,4.0,43.45218,29730
SUV 4 portas,2016,182.0,4.0,51.49888,22600
minivan de passageiros,2016,169.0,4.0,45.06152,26825
minivan de passageiros,2015,266.0,6.0,37.01482,42880
hatchback 2 portas,1999,79.0,4.0,62.76426,2000
van de carga,1999,175.0,6.0,25.74944,2041
picape cabine simples,2004,202.0,6.0,28.96812,26575
seda,2000,190.0,5.0,38.62416,2430
seda,2017,184.0,4.0,57.93624,24195
hatchback 4 portas,2016,292.0,4.0,49.88954,37895
perua,2013,318.0,6.0,41.84284,46090
minivan de passageiros,2017,283.0,6.0,40.2335,23995
picape cabine simples,1994,116.0,6.0,32.1868,2000
SUV 4 portas,2017,240.0,4.0,40.2335,41895
seda,2017,311.0,6.0,45.06152,41400
seda,2016,304.0,6.0,45.06152,55705
van de passageiros,1996,145.0,6.0,24.1401,2000
picape cabine estendida,2017,310.0,8.0,28.96812,33070
SUV 4 portas,2015,288.0,6.0,38.62416,39050
SUV 4 portas,2011,166.0,4.0,38.62416,22075
SUV 4 portas,2016,175.0,4.0,48.2802,29900
picape cabine simples,2017,285.0,6.0,35.40548,31525
SUV 4 portas,2017,295.0,6.0,41.84284,50320
seda,2015,240.0,4.0,59.54558,33300
SUV 4 portas,2017,176.0,4.0,45.06152,36150
perua,2012,170.0,5.0,49.88954,21295
seda,2015,503.0,8.0,40.2335,71900
seda,2017,148.0,4.0,53.10822,17795
conversivel,2014,325.0,6.0,38.62416,53400
SUV 4 portas,2015,260.0,6.0,41.84284,34830
seda,2015,268.0,6.0,49.88954,34140
perua,2015,287.0,6.0,40.2335,29100
perua,2016,220.0,4.0,45.06152,44800
minivan de passageiros,2017,276.0,6.0,38.62416,33600
cupe,2004,200.0,6.0,41.84284,22695
hatchback 2 portas,2015,179.0,4.0,49.88954,19210
seda,2015,182.0,4.0,61.15492,22300
seda,2012,220.0,4.0,53.10822,34340
picape cabine simples,2003,120.0,4.0,40.2335,16905
SUV 2 portas,1990,140.0,6.0,32.1868,2000
seda,2016,300.0,6.0,48.2802,30535
picape cabine simples,1998,200.0,6.0,33.79614,2885
SUV 4 portas,2016,365.0,6.0,32.1868,64945
conversivel,2017,460.0,8.0,40.2335,73905
SUV 4 portas,2014,160.0,4.0,53.10822,25995
picape cabine estendida,2007,295.0,8.0,30.57746,29065
hatchback 4 portas,2017,252.0,4.0,49.88954,24775
picape cabine estendida,1999,150.0,6.0,33.79614,2853
seda,1991,217.0,5.0,35.40548,2000
perua,2015,134.0,4.0,64.3736,29695
minivan de passageiros,2016,266.0,6.0,40.2335,45270
picape cabine dupla,2016,385.0,8.0,33.79614,50050
conversivel,2017,241.0,4.0,49.88954,50900
seda,2017,164.0,4.0,53.10822,21200
SUV 4 portas,1997,255.0,8.0,24.1401,2585
conversivel,2016,170.0,4.0,54.71756,25995
seda,2014,184.0,4.0,56.3269,18595
hatchback 4 portas,2010,158.0,4.0,45.06152,17445
seda,2016,302.0,4.0,49.88954,47900
seda,2017,288.0,6.0,38.62416,31625
picape cabine dupla,2015,305.0,6.0,38.62416,36950
seda,2016,197.0,4.0,54.71756,22565
cupe,2016,333.0,6.0,45.06152,60350
SUV 4 portas,2015,240.0,6.0,41.84284,63600
hatchback 2 portas,1993,136.0,4.0,41.84284,2000
picape cabine estendida,1992,230.0,8.0,24.1401,2000
SUV 2 portas,2002,203.0,6.0,28.96812,27780
conversivel,2016,170.0,4.0,56.3269,40100
hatchback 2 portas,1999,170.0,4.0,45.06152,3355
seda,2016,200.0,4.0,49.88954,32670
picape cabine estendida,2007,295.0,8.0,30.57746,27135
SUV 4 portas,2016,295.0,6.0,41.84284,49125
seda,2002,215.0,6.0,40.2335,31615
seda,1990,153.0,4.0,37.01482,2000
seda,2016,292.0,6.0,43.45218,34760
SUV 4 portas,2016,279.0,6.0,45.06152,40570
cupe,1992,140.0,6.0,41.84284,2000
hatchback 4 portas,2015,210.0,4.0,54.71756,30045
minivan de passageiros,2013,157.0,4.0,45.06152,19940
hatchback 2 portas,2016,201.0,4.0,53.10822,21600
SUV 4 portas,2017,345.0,6.0,32.1868,72000
cupe,2016,275.0,4.0,48.2802,29800
cupe,2015,323.0,6.0,45.06152,26005
hatchback 2 portas,1999,55.0,3.0,67.59228,2000
minivan de passageiros,2017,169.0,4.0,43.45218,25590
SUV 4 portas,1999,190.0,6.0,30.57746,2377
minivan de passageiros,2004,185.0,6.0,35.40548,31035
conversivel,2016,240.0,4.0,54.71756,50000
picape cabine estendida,2004,202.0,6.0,30.57746,25160
minivan de passageiros,1995,138.0,4.0,30.57746,2000
cupe,2017,332.0,6.0,41.84284,37070
SUV 4 portas,2017,182.0,4.0,45.06152,31790
seda,1993,275.0,8.0,35.40548,2278
seda,2016,195.0,4.0,67.59228,52650
picape cabine simples,2017,285.0,6.0,38.62416,33985
conversivel,1994,222.0,6.0,35.40548,2847
hatchback 2 portas,1996,118.0,4.0,48.2802,2000
seda,2017,188.0,4.0,65.98294,37020
SUV 2 portas,1993,230.0,8.0,25.74944,2000
seda,2017,185.0,4.0,57.93624,27150
SUV 4 portas,2017,272.0,6.0,41.84284,53200
hatchback 4 portas,2013,200.0,4.0,49.88954,25095
SUV 4 portas,2008,252.0,6.0,35.40548,29149
seda,2015,170.0,4.0,53.10822,29900
SUV 4 portas,2015,305.0,6.0,37.01482,40850
hatchback 4 portas,2008,127.0,4.0,45.06152,13839
SUV 4 portas,2006,250.0,6.0,33.79614,35695
seda,2015,345.0,6.0,40.2335,69800
picape cabine dupla,2015,317.0,8.0,27.35878,36990
cupe,1995,230.0,6.0,37.01482,2000
seda,2015,310.0,6.0,43.45218,56300
seda,2017,138.0,4.0,54.71756,18170
picape cabine dupla,2009,210.0,6.0,32.1868,25575
minivan de passageiros,1998,180.0,6.0,37.01482,2104
SUV 4 portas,2015,355.0,8.0,35.40548,64085
seda,2015,321.0,6.0,41.84284,59370
SUV 4 portas,2016,365.0,6.0,35.40548,59375
picape cabine dupla,2016,278.0,6.0,37.01482,31420
SUV 4 portas,2016,185.0,4.0,49.88954,25045
seda,2016,132.0,4.0,61.15492,18735
SUV 4 portas,2015,182.0,4.0,40.2335,25200
picape cabine estendida,2016,381.0,8.0,27.35878,36030
seda,2002,170.0,6.0,38.62416,28875
hatchback 2 portas,2014,132.0,4.0,57.93624,21650
seda,2015,410.0,6.0,38.62416,69785
minivan de passageiros,2005,200.0,6.0,33.79614,33855
seda,2016,160.0,4.0,57.93624,18995
picape cabine dupla,2016,355.0,8.0,37.01482,36940
seda,2005,150.0,4.0,41.84284,20255
picape cabine simples,2003,120.0,4.0,37.01482,16220
conversivel,2016,170.0,4.0,56.3269,39300
picape cabine simples,2012,185.0,4.0,37.01482,22385
seda,2015,168.0,4.0,46.67086,20995
SUV 4 portas,2017,290.0,6.0,38.62416,31160
